Investigator,,Time (s),Electrode,Amplitude(mV),,,,,,,,,,,,,,,,,,,,
,,19.2544,D2_33,0.025,,,,,,,,,,,,,,,,,,,,
,,19.38544,A6_42,0.008,,,,,,,,,,,,,,,,,,,,
,,19.47704,A4_23,0.031,,,,,,,,,,,,,,,,,,,,
,,19.68592,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,19.73,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,19.7608,B4_34,0.015,,,,,,,,,,,,,,,,,,,,
,,20.0236,B5_22,0.017,,,,,,,,,,,,,,,,,,,,
,,20.06088,A4_23,0.032,,,,,,,,,,,,,,,,,,,,
,,20.12392,D2_33,0.035,,,,,,,,,,,,,,,,,,,,
,,20.23432,A4_33,0.014,,,,,,,,,,,,,,,,,,,,
,,20.38296,B5_33,0.015,,,,,,,,,,,,,,,,,,,,
,,20.3884,B6_23,0.036,,,,,,,,,,,,,,,,,,,,
,,20.40824,B6_24,0.016,,,,,,,,,,,,,,,,,,,,
,,20.45856,B3_12,0.026,,,,,,,,,,,,,,,,,,,,
,,20.53832,B6_43,0.016,,,,,,,,,,,,,,,,,,,,
,,20.55728,A4_23,0.03,,,,,,,,,,,,,,,,,,,,
,,20.7164,B6_42,0.019,,,,,,,,,,,,,,,,,,,,
,,20.77792,B6_24,0.015,,,,,,,,,,,,,,,,,,,,
,,20.80968,D2_13,0.023,,,,,,,,,,,,,,,,,,,,
,,20.8232,A4_14,0.013,,,,,,,,,,,,,,,,,,,,
,,21.01096,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,21.01216,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,21.05856,B6_42,0.017,,,,,,,,,,,,,,,,,,,,
,,21.09832,B4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,21.15272,B3_12,0.02,,,,,,,,,,,,,,,,,,,,
,,21.27928,B4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,21.34376,D2_33,0.024,,,,,,,,,,,,,,,,,,,,
,,21.3864,B4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,21.41968,C4_33,0.019,,,,,,,,,,,,,,,,,,,,
,,21.5056,B5_31,0.02,,,,,,,,,,,,,,,,,,,,
,,21.5456,C4_24,0.014,,,,,,,,,,,,,,,,,,,,
,,21.59256,C4_33,0.02,,,,,,,,,,,,,,,,,,,,
,,21.80768,B4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,21.81464,B3_12,0.023,,,,,,,,,,,,,,,,,,,,
,,21.9076,D6_32,0.017,,,,,,,,,,,,,,,,,,,,
,,21.9336,C3_33,0.015,,,,,,,,,,,,,,,,,,,,
,,22.12,A2_14,0.017,,,,,,,,,,,,,,,,,,,,
,,22.18016,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,22.18736,B5_23,0.014,,,,,,,,,,,,,,,,,,,,
,,22.30784,B5_13,0.014,,,,,,,,,,,,,,,,,,,,
,,22.33648,A4_23,0.022,,,,,,,,,,,,,,,,,,,,
,,22.35456,D2_24,0.014,,,,,,,,,,,,,,,,,,,,
,,22.40768,A6_34,0.018,,,,,,,,,,,,,,,,,,,,
,,22.41856,A1_44,0.014,,,,,,,,,,,,,,,,,,,,
,,22.50096,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,22.59112,B3_12,0.022,,,,,,,,,,,,,,,,,,,,
,,22.64664,A4_34,0.016,,,,,,,,,,,,,,,,,,,,
,,22.67488,B5_23,0.013,,,,,,,,,,,,,,,,,,,,
,,22.74112,A4_24,0.019,,,,,,,,,,,,,,,,,,,,
,,22.80632,B5_13,0.015,,,,,,,,,,,,,,,,,,,,
,,22.8732,B5_21,0.017,,,,,,,,,,,,,,,,,,,,
,,22.90168,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,22.97768,B4_22,0.01,,,,,,,,,,,,,,,,,,,,
,,22.99952,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,23.0532,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,23.06296,A4_24,0.016,,,,,,,,,,,,,,,,,,,,
,,23.27224,B6_43,0.016,,,,,,,,,,,,,,,,,,,,
,,23.29536,C5_23,0.017,,,,,,,,,,,,,,,,,,,,
,,23.39608,A4_23,0.017,,,,,,,,,,,,,,,,,,,,
,,23.4108,B5_13,0.013,,,,,,,,,,,,,,,,,,,,
,,23.47248,C5_22,0.014,,,,,,,,,,,,,,,,,,,,
,,23.52504,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,23.5476,A4_23,0.016,,,,,,,,,,,,,,,,,,,,
,,23.59944,B6_43,0.019,,,,,,,,,,,,,,,,,,,,
,,23.72816,A4_24,0.018,,,,,,,,,,,,,,,,,,,,
,,23.78408,A4_43,0.018,,,,,,,,,,,,,,,,,,,,
,,23.87184,A4_24,0.017,,,,,,,,,,,,,,,,,,,,
,,23.9056,B3_12,0.024,,,,,,,,,,,,,,,,,,,,
