Investigator,Ghislaine,Time (s),Electrode,Amplitude(mV)
,,1.8968,C4_33,0.027
,,1.90152,C2_32,0.036
,,1.90304,C2_23,0.018
,,1.90872,C1_21,0.025
,,1.9108,C3_33,0.042
,,1.91232,C3_32,0.115
,,1.91408,C3_44,0.013
,,1.91784,C1_41,0.02
,,1.91888,C1_31,0.028
,,1.91968,C4_33,0.028
,,1.92576,C2_31,0.062
,,1.92704,C1_41,0.019
,,1.92912,C2_31,0.05
,,1.94264,C5_34,0.047
,,1.94304,C1_43,0.035
,,1.9476,C2_32,0.024
,,1.94776,C2_31,0.055
,,1.958,C2_31,0.076
,,1.96064,C3_33,0.031
,,1.96208,C3_31,0.029
,,1.96408,C4_12,0.016
,,1.96424,C1_41,0.031
,,1.96776,C2_33,0.044
,,1.97128,C3_43,0.054
,,1.97784,C1_42,0.027
,,1.98016,C5_22,0.029
,,1.98224,C1_43,0.027
,,1.98696,C2_33,0.036
,,1.98952,C6_42,0.031
,,1.99768,C1_21,0.041
,,1.99872,C1_22,0.032
,,2,C3_42,0.03
,,2.00608,C5_31,0.028
,,2.01104,C1_22,0.057
,,2.01144,C3_32,0.032
,,2.01176,C6_11,0.026
,,2.01216,C2_22,0.034
,,2.01392,C1_22,0.055
,,2.01408,C2_32,0.034
,,2.01416,C5_33,0.022
,,2.0144,C5_31,0.031
,,2.01744,C2_23,0.03
,,2.01912,C2_31,0.036
,,2.01976,C2_33,0.044
,,2.02968,C4_12,0.023
,,2.03016,C1_11,0.054
,,2.0332,C3_31,0.024
,,2.03736,C2_33,0.025
,,2.04168,C6_42,0.015
,,2.04184,C1_31,0.029
,,2.04416,C6_21,0.048
,,2.04488,C6_42,0.016
,,2.0456,C3_42,0.028
,,2.04728,C5_33,0.018
,,2.04736,C1_43,0.015
,,2.04768,C1_33,0.015
,,2.05,C3_33,0.039
,,2.05256,C1_41,0.023
,,2.05456,C2_22,0.032
,,2.05904,C3_31,0.031
,,2.06096,C1_42,0.035
,,2.06704,C5_32,0.022
,,2.06752,C2_33,0.034
,,2.06984,C4_33,0.025
,,2.07224,C3_33,0.047
,,2.0772,C5_33,0.022
,,2.08096,C1_31,0.035
,,2.08448,C3_33,0.038
,,2.08672,C1_41,0.021
,,2.08952,C1_22,0.046
,,2.09792,C1_31,0.025
,,2.0996,C3_42,0.071
,,2.10112,C3_32,0.043
,,2.10312,C3_33,0.057
,,2.1044,C4_24,0.033
,,2.10904,C3_42,0.025
,,2.10984,C1_11,0.036
,,2.11952,C2_32,0.038
,,2.12064,C1_22,0.028
,,2.12392,C2_32,0.044
,,2.12408,C4_33,0.045
,,2.12632,C2_23,0.053
,,2.132,C2_33,0.032
